"_id","title","url","votes","answers","views","referenceCount","time"
"61c8037d4e99484d6d7156ff","C# Custom System.Dynamic class tuple assignment","/questions/70484292/c-sharp-custom-system-dynamic-class-tuple-assignment",0,0,16,2,"2021-12-26 04:52:57Z"
"61c8037d4e99484d6d715701","How to kill all threads conditioned on status of on thread?","/questions/70484290/how-to-kill-all-threads-conditioned-on-status-of-on-thread",0,0,12,2,"2021-12-26 04:52:39Z"
"61c8037d4e99484d6d715735","How to echo all the fetched results in the update page that are being inputted into the db using the implode function?","/questions/70484289/how-to-echo-all-the-fetched-results-in-the-update-page-that-are-being-inputted-i",1,1,19,2,"2021-12-26 04:52:32Z"
"61c8037d4e99484d6d715737","Multiple image upload in Django admin","/questions/70484288/multiple-image-upload-in-django-admin",0,0,8,2,"2021-12-26 04:52:25Z"
"61c8037d4e99484d6d715739","Prolog program to enumerate all possible solution over a countable set","/questions/70484286/prolog-program-to-enumerate-all-possible-solution-over-a-countable-set",0,0,5,2,"2021-12-26 04:50:43Z"
"61c8037d4e99484d6d71573b","How do I remotely execute a prespecified command with authentication across a local network on Linux?","/questions/70484282/how-do-i-remotely-execute-a-prespecified-command-with-authentication-across-a-lo",1,1,7,2,"2021-12-26 04:50:30Z"
"61c8037d4e99484d6d71573d","NodeJS Validation with JOI","/questions/70484281/nodejs-validation-with-joi",0,0,5,2,"2021-12-26 04:49:25Z"
"61c8037d4e99484d6d71573f","JObject Not Parsing Values I need","/questions/70484279/jobject-not-parsing-values-i-need",0,1,18,2,"2021-12-26 04:49:03Z"
"61c8037d4e99484d6d715741","Firefox serviceWorker fetch event, not working after back","/questions/70484275/firefox-serviceworker-fetch-event-not-working-after-back",0,0,4,2,"2021-12-26 04:48:39Z"
"61c8037d4e99484d6d715743","how to use both thymeleaf and jsp in same spring boot project","/questions/70484274/how-to-use-both-thymeleaf-and-jsp-in-same-spring-boot-project",0,0,6,2,"2021-12-26 04:48:26Z"
"61c8037d4e99484d6d715745","CCC'2020 J5/S2 Escape Room Solution (Python)","/questions/70484273/ccc2020-j5-s2-escape-room-solution-python",0,0,11,2,"2021-12-26 04:48:25Z"
"61c8037d4e99484d6d715747","Getting error -method or namespace is empty- in Golang WSDL SOAP","/questions/70484269/getting-error-method-or-namespace-is-empty-in-golang-wsdl-soap",0,0,7,2,"2021-12-26 04:47:13Z"
"61c8037d4e99484d6d715749","Resetting Value of Google Places Autocomplete nested in Formik","/questions/70484268/resetting-value-of-google-places-autocomplete-nested-in-formik",0,0,5,2,"2021-12-26 04:46:08Z"
"61c8037d4e99484d6d71574b","Assimp is reading wrong values from 3D animation keyframes (.xfb file)","/questions/70484267/assimp-is-reading-wrong-values-from-3d-animation-keyframes-xfb-file",0,0,6,2,"2021-12-26 04:46:00Z"
